source_file,instance_file,n,m,ratio,satisfied_clauses,fully_satisfied,iterations,restarts,runtime_seconds,parsed_n,parsed_m,parsed_ratio,parsed_seed
D:\optimaization\phaseone\data\instances\3sat_n100_r3.json,3sat_n100_r3.json,100,300,3.0,297,False,62,4,1.8192077999992762,100,300,3.0,
D:\optimaization\phaseone\data\instances\3sat_n100_r4.3.json,3sat_n100_r4.3.json,100,430,4.3,420,False,88,4,4.343052199998056,100,430,4.3,
D:\optimaization\phaseone\data\instances\3sat_n100_r6.json,3sat_n100_r6.json,100,600,6.0,584,False,95,4,9.725115400011418,100,600,6.0,
D:\optimaization\phaseone\data\instances\3sat_n150_r3.json,3sat_n150_r3.json,150,450,3.0,445,False,110,4,17.81047579999722,150,450,3.0,
D:\optimaization\phaseone\data\instances\3sat_n150_r4.3.json,3sat_n150_r4.3.json,150,645,4.3,635,False,123,4,28.84689729999809,150,645,4.3,
D:\optimaization\phaseone\data\instances\3sat_n150_r6.json,3sat_n150_r6.json,150,900,6.0,874,False,156,4,52.6534837000072,150,900,6.0,
D:\optimaization\phaseone\data\instances\3sat_n200_r3.json,3sat_n200_r3.json,200,600,3.0,591,False,150,4,46.15281710001,200,600,3.0,
D:\optimaization\phaseone\data\instances\3sat_n200_r4.3.json,3sat_n200_r4.3.json,200,860,4.3,850,False,186,4,90.31084920000285,200,860,4.3,
D:\optimaization\phaseone\data\instances\3sat_n200_r6.json,3sat_n200_r6.json,200,1200,6.0,1164,False,213,4,154.4481104000006,200,1200,6.0,
D:\optimaization\phaseone\data\instances\3sat_n500_r3.json,3sat_n500_r3.json,500,1500,3.0,1477,False,374,4,900.6253261000093,500,1500,3.0,
D:\optimaization\phaseone\data\instances\3sat_n500_r4.3.json,3sat_n500_r4.3.json,500,2150,4.3,2109,False,433,4,877.4590522999933,500,2150,4.3,
D:\optimaization\phaseone\data\instances\3sat_n500_r6.json,3sat_n500_r6.json,500,3000,6.0,2903,False,485,4,1000.2817754999996,500,3000,6.0,
D:\optimaization\phaseone\data\instances\3sat_n50_r3.json,3sat_n50_r3.json,50,150,3.0,150,True,43,4,0.5238785999972606,50,150,3.0,
D:\optimaization\phaseone\data\instances\3sat_n50_r4.3.json,3sat_n50_r4.3.json,50,215,4.3,211,False,46,4,0.7872551000036765,50,215,4.3,
D:\optimaization\phaseone\data\instances\3sat_n50_r6.json,3sat_n50_r6.json,50,300,6.0,292,False,53,4,1.1791768000111915,50,300,6.0,
