source_file,instance_file,algorithm,n,m,ratio,satisfied_clauses,fully_satisfied,iterations,restarts,runtime_seconds,parsed_n,parsed_m,parsed_ratio,parsed_seed
D:\optimaization\phaseone\data\instances\3sat_n100_r3.json,3sat_n100_r3.json,Hill Climbing,100,300,3.0,297,False,128,8,5.059870500001125,100,300,3.0,
D:\optimaization\phaseone\data\instances\3sat_n100_r4.3.json,3sat_n100_r4.3.json,Hill Climbing,100,430,4.3,420,False,171,8,8.601994299999205,100,430,4.3,
D:\optimaization\phaseone\data\instances\3sat_n100_r6.json,3sat_n100_r6.json,Hill Climbing,100,600,6.0,584,False,199,8,14.35121120000258,100,600,6.0,
D:\optimaization\phaseone\data\instances\3sat_n150_r3.json,3sat_n150_r3.json,Hill Climbing,150,450,3.0,445,False,212,8,32.60742800000298,150,450,3.0,
D:\optimaization\phaseone\data\instances\3sat_n150_r4.3.json,3sat_n150_r4.3.json,Hill Climbing,150,645,4.3,635,False,254,8,38.78974459999881,150,645,4.3,
D:\optimaization\phaseone\data\instances\3sat_n150_r6.json,3sat_n150_r6.json,Hill Climbing,150,900,6.0,875,False,282,8,94.6585167000012,150,900,6.0,
D:\optimaization\phaseone\data\instances\3sat_n200_r3.json,3sat_n200_r3.json,Hill Climbing,200,600,3.0,594,False,297,8,101.19379950000439,200,600,3.0,
D:\optimaization\phaseone\data\instances\3sat_n200_r4.3.json,3sat_n200_r4.3.json,Hill Climbing,200,860,4.3,850,False,342,8,146.91914220000035,200,860,4.3,
D:\optimaization\phaseone\data\instances\3sat_n200_r6.json,3sat_n200_r6.json,Hill Climbing,200,1200,6.0,1164,False,420,8,251.04539450000448,200,1200,6.0,
D:\optimaization\phaseone\data\instances\3sat_n500_r3.json,3sat_n500_r3.json,Hill Climbing,500,1500,3.0,1477,False,739,8,1520.9062993999978,500,1500,3.0,
D:\optimaization\phaseone\data\instances\3sat_n500_r4.3.json,3sat_n500_r4.3.json,Hill Climbing,500,2150,4.3,2109,False,881,8,2321.232240199999,500,2150,4.3,
D:\optimaization\phaseone\data\instances\3sat_n500_r6.json,3sat_n500_r6.json,Hill Climbing,500,3000,6.0,2906,False,966,8,3252.463088699995,500,3000,6.0,
D:\optimaization\phaseone\data\instances\3sat_n50_r3.json,3sat_n50_r3.json,Hill Climbing,50,150,3.0,150,True,43,4,0.8914145000017015,50,150,3.0,
D:\optimaization\phaseone\data\instances\3sat_n50_r4.3.json,3sat_n50_r4.3.json,Hill Climbing,50,215,4.3,211,False,93,8,2.6257955000037327,50,215,4.3,
D:\optimaization\phaseone\data\instances\3sat_n50_r6.json,3sat_n50_r6.json,Hill Climbing,50,300,6.0,292,False,100,8,4.326763899996877,50,300,6.0,
