source_file,instance_file,algorithm,n,m,ratio,satisfied_clauses,fully_satisfied,iterations,restarts,runtime_seconds,parsed_n,parsed_m,parsed_ratio,parsed_seed
D:\optimaization\phaseone\data\instances\3sat_n100_r3.json,3sat_n100_r3.json,Simulated Annealing,100,300,3.0,299,False,1379,1,0.47556959999201354,100,300,3.0,
D:\optimaization\phaseone\data\instances\3sat_n100_r4.3.json,3sat_n100_r4.3.json,Simulated Annealing,100,430,4.3,424,False,1379,1,0.7557911000039894,100,430,4.3,
D:\optimaization\phaseone\data\instances\3sat_n100_r6.json,3sat_n100_r6.json,Simulated Annealing,100,600,6.0,587,False,1379,1,1.019048300004215,100,600,6.0,
D:\optimaization\phaseone\data\instances\3sat_n150_r3.json,3sat_n150_r3.json,Simulated Annealing,150,450,3.0,450,True,1244,1,0.6214448000100674,150,450,3.0,
D:\optimaization\phaseone\data\instances\3sat_n150_r4.3.json,3sat_n150_r4.3.json,Simulated Annealing,150,645,4.3,640,False,1379,1,0.9325787999987369,150,645,4.3,
D:\optimaization\phaseone\data\instances\3sat_n150_r6.json,3sat_n150_r6.json,Simulated Annealing,150,900,6.0,880,False,1379,1,1.5640210000128718,150,900,6.0,
D:\optimaization\phaseone\data\instances\3sat_n200_r3.json,3sat_n200_r3.json,Simulated Annealing,200,600,3.0,596,False,1379,1,0.9213868999941042,200,600,3.0,
D:\optimaization\phaseone\data\instances\3sat_n200_r4.3.json,3sat_n200_r4.3.json,Simulated Annealing,200,860,4.3,845,False,1379,1,1.4485092000104487,200,860,4.3,
D:\optimaization\phaseone\data\instances\3sat_n200_r6.json,3sat_n200_r6.json,Simulated Annealing,200,1200,6.0,1163,False,1379,1,1.8244611999980407,200,1200,6.0,
D:\optimaization\phaseone\data\instances\3sat_n500_r3.json,3sat_n500_r3.json,Simulated Annealing,500,1500,3.0,1463,False,1379,1,2.4916680000023916,500,1500,3.0,
D:\optimaization\phaseone\data\instances\3sat_n500_r4.3.json,3sat_n500_r4.3.json,Simulated Annealing,500,2150,4.3,2098,False,1379,1,3.299870600007125,500,2150,4.3,
D:\optimaization\phaseone\data\instances\3sat_n500_r6.json,3sat_n500_r6.json,Simulated Annealing,500,3000,6.0,2870,False,1379,1,4.699307200004114,500,3000,6.0,
D:\optimaization\phaseone\data\instances\3sat_n50_r3.json,3sat_n50_r3.json,Simulated Annealing,50,150,3.0,148,False,750,1,0.16246639999735635,50,150,3.0,
D:\optimaization\phaseone\data\instances\3sat_n50_r4.3.json,3sat_n50_r4.3.json,Simulated Annealing,50,215,4.3,209,False,750,1,0.17637679999461398,50,215,4.3,
D:\optimaization\phaseone\data\instances\3sat_n50_r6.json,3sat_n50_r6.json,Simulated Annealing,50,300,6.0,295,False,750,1,0.2941864999884274,50,300,6.0,
