source_file,instance_file,algorithm,n,m,ratio,satisfied_clauses,fully_satisfied,iterations,restarts,runtime_seconds,parsed_n,parsed_m,parsed_ratio,parsed_seed
D:\optimaization\phaseone\data\instances\3sat_n100_r3.json,3sat_n100_r3.json,Tabu Search,100,300,3.0,300,True,92,1,2.729163800002425,100,300,3.0,
D:\optimaization\phaseone\data\instances\3sat_n100_r4.3.json,3sat_n100_r4.3.json,Tabu Search,100,430,4.3,429,False,1500,1,141.8522176000115,100,430,4.3,
D:\optimaization\phaseone\data\instances\3sat_n100_r6.json,3sat_n100_r6.json,Tabu Search,100,600,6.0,591,False,1500,1,203.59351270001207,100,600,6.0,
D:\optimaization\phaseone\data\instances\3sat_n150_r3.json,3sat_n150_r3.json,Tabu Search,150,450,3.0,450,True,1253,1,101.64387210000132,150,450,3.0,
D:\optimaization\phaseone\data\instances\3sat_n150_r4.3.json,3sat_n150_r4.3.json,Tabu Search,150,645,4.3,643,False,2250,1,246.4258542000025,150,645,4.3,
D:\optimaization\phaseone\data\instances\3sat_n150_r6.json,3sat_n150_r6.json,Tabu Search,150,900,6.0,889,False,2250,1,330.3739818000031,150,900,6.0,
D:\optimaization\phaseone\data\instances\3sat_n200_r3.json,3sat_n200_r3.json,Tabu Search,200,600,3.0,599,False,3000,1,407.86810680000053,200,600,3.0,
D:\optimaization\phaseone\data\instances\3sat_n200_r4.3.json,3sat_n200_r4.3.json,Tabu Search,200,860,4.3,858,False,3000,1,572.1985108000081,200,860,4.3,
D:\optimaization\phaseone\data\instances\3sat_n200_r6.json,3sat_n200_r6.json,Tabu Search,200,1200,6.0,1183,False,3000,1,847.8813832000014,200,1200,6.0,
D:\optimaization\phaseone\data\instances\3sat_n500_r3.json,3sat_n500_r3.json,Tabu Search,500,1500,3.0,1490,False,7500,1,9686.038288800002,500,1500,3.0,
D:\optimaization\phaseone\data\instances\3sat_n500_r4.3.json,3sat_n500_r4.3.json,Tabu Search,500,2150,4.3,2118,False,7500,1,8806.686818900009,500,2150,4.3,
D:\optimaization\phaseone\data\instances\3sat_n500_r6.json,3sat_n500_r6.json,Tabu Search,500,3000,6.0,2953,False,7500,1,11379.7932765,500,3000,6.0,
D:\optimaization\phaseone\data\instances\3sat_n50_r3.json,3sat_n50_r3.json,Tabu Search,50,150,3.0,150,True,17,1,0.12568939999619033,50,150,3.0,
D:\optimaization\phaseone\data\instances\3sat_n50_r4.3.json,3sat_n50_r4.3.json,Tabu Search,50,215,4.3,213,False,750,1,7.978433399999631,50,215,4.3,
D:\optimaization\phaseone\data\instances\3sat_n50_r6.json,3sat_n50_r6.json,Tabu Search,50,300,6.0,296,False,750,1,11.314335199989728,50,300,6.0,
