setting_label,instance_name,n,ratio,run_id,random_seed,mode,best_satisfied_clauses,total_clauses,satisfaction_rate,runtime_seconds,iterations_used,fully_satisfied,restart_count,iteration_of_best,iteration_of_full_satisfaction,reheat_count,accepted_worse_moves,accepted_better_moves,accepted_equal_moves,number_of_unsatisfied_focused_moves,config_json
baseline,3sat_n100_r3.json,100,3.0,0,704122,baseline,300,300,1.0,0.5031316999811679,1498,True,1,1498,1498,0,226,261,443,0,"{""cooling_rate"": 0.997, ""initial_temperature"": 12.0, ""max_iterations"": 5000, ""min_temperature"": 0.001, ""mode"": ""baseline""}"
baseline,3sat_n100_r4.3.json,100,4.3,0,704252,baseline,425,430,0.9883720930232558,1.3007609999040142,3127,False,1,1746,,0,247,285,510,0,"{""cooling_rate"": 0.997, ""initial_temperature"": 12.0, ""max_iterations"": 5000, ""min_temperature"": 0.001, ""mode"": ""baseline""}"
baseline,3sat_n100_r6.json,100,6.0,0,704422,baseline,587,600,0.9783333333333334,1.6530933999456465,3127,False,1,1630,,0,252,272,319,0,"{""cooling_rate"": 0.997, ""initial_temperature"": 12.0, ""max_iterations"": 5000, ""min_temperature"": 0.001, ""mode"": ""baseline""}"
baseline,3sat_n150_r3.json,150,3.0,0,705972,baseline,450,450,1.0,0.6748716000001878,1706,True,1,1706,1706,0,227,266,492,0,"{""cooling_rate"": 0.997, ""initial_temperature"": 12.0, ""max_iterations"": 7500, ""min_temperature"": 0.001, ""mode"": ""baseline""}"
baseline,3sat_n150_r4.3.json,150,4.3,0,706102,baseline,640,645,0.9922480620155039,1.830648500006646,3127,False,1,1915,,0,231,270,504,0,"{""cooling_rate"": 0.997, ""initial_temperature"": 12.0, ""max_iterations"": 7500, ""min_temperature"": 0.001, ""mode"": ""baseline""}"
baseline,3sat_n150_r6.json,150,6.0,0,706272,baseline,885,900,0.9833333333333333,2.6026356999063864,3127,False,1,2727,,0,239,294,396,0,"{""cooling_rate"": 0.997, ""initial_temperature"": 12.0, ""max_iterations"": 7500, ""min_temperature"": 0.001, ""mode"": ""baseline""}"
baseline,3sat_n200_r3.json,200,3.0,0,707822,baseline,598,600,0.9966666666666667,1.7233636999735609,3127,False,1,1712,,0,233,285,799,0,"{""cooling_rate"": 0.997, ""initial_temperature"": 12.0, ""max_iterations"": 10000, ""min_temperature"": 0.001, ""mode"": ""baseline""}"
baseline,3sat_n200_r4.3.json,200,4.3,0,707952,baseline,852,860,0.9906976744186047,2.401963399956003,3127,False,1,3069,,0,239,302,698,0,"{""cooling_rate"": 0.997, ""initial_temperature"": 12.0, ""max_iterations"": 10000, ""min_temperature"": 0.001, ""mode"": ""baseline""}"
baseline,3sat_n200_r6.json,200,6.0,0,708122,baseline,1170,1200,0.975,3.487738399999216,3127,False,1,2875,,0,228,305,417,0,"{""cooling_rate"": 0.997, ""initial_temperature"": 12.0, ""max_iterations"": 10000, ""min_temperature"": 0.001, ""mode"": ""baseline""}"
enhanced_trial_2,3sat_n100_r3.json,100,3.0,0,704122,enhanced,300,300,1.0,0.0015753000043332577,21,True,1,21,21,0,0,16,5,17,"{""adaptive_cooling"": true, ""adaptive_cooling_bonus"": 0.0007, ""adaptive_cooling_penalty"": 0.0025, ""candidate_pool_size"": 10, ""cooling_rate"": 0.9975, ""elite_restart_perturbation"": 3, ""elite_restart_transfer"": true, ""history_bias_strength"": 0.72, ""initial_temperature"": 24.0, ""intensification_cooling_bonus"": 0.0009, ""intensification_focus_probability"": 0.94, ""intensification_threshold"": 0.98, ""max_iterations"": 4500, ""max_multi_flip_size"": 2, ""max_reheats"": 4, ""min_temperature"": 0.0005, ""mini_hill_climb_steps"": 33, ""mode"": ""enhanced"", ""multi_bit_flip_probability"": 0.04, ""polarity_bias_strength"": 0.7, ""reheat_multiplier"": 1.5, ""restart_count"": 2, ""restart_initialization_strategy"": ""polarity"", ""stagnation_limit"": 70, ""stagnation_multi_bit_boost"": 0.15, ""unsatisfied_focus_probability"": 0.6}"
enhanced_trial_2,3sat_n100_r4.3.json,100,4.3,0,704252,enhanced,427,430,0.9930232558139535,0.48300010000821203,5977,False,2,814,,8,102,124,5658,5611,"{""adaptive_cooling"": true, ""adaptive_cooling_bonus"": 0.0007, ""adaptive_cooling_penalty"": 0.0025, ""candidate_pool_size"": 10, ""cooling_rate"": 0.9975, ""elite_restart_perturbation"": 3, ""elite_restart_transfer"": true, ""history_bias_strength"": 0.72, ""initial_temperature"": 24.0, ""intensification_cooling_bonus"": 0.0009, ""intensification_focus_probability"": 0.94, ""intensification_threshold"": 0.98, ""max_iterations"": 4500, ""max_multi_flip_size"": 2, ""max_reheats"": 4, ""min_temperature"": 0.0005, ""mini_hill_climb_steps"": 33, ""mode"": ""enhanced"", ""multi_bit_flip_probability"": 0.04, ""polarity_bias_strength"": 0.7, ""reheat_multiplier"": 1.5, ""restart_count"": 2, ""restart_initialization_strategy"": ""polarity"", ""stagnation_limit"": 70, ""stagnation_multi_bit_boost"": 0.15, ""unsatisfied_focus_probability"": 0.6}"
enhanced_trial_2,3sat_n100_r6.json,100,6.0,0,704422,enhanced,591,600,0.985,0.7644910000963137,6256,False,2,3614,,8,459,487,3995,5868,"{""adaptive_cooling"": true, ""adaptive_cooling_bonus"": 0.0007, ""adaptive_cooling_penalty"": 0.0025, ""candidate_pool_size"": 10, ""cooling_rate"": 0.9975, ""elite_restart_perturbation"": 3, ""elite_restart_transfer"": true, ""history_bias_strength"": 0.72, ""initial_temperature"": 24.0, ""intensification_cooling_bonus"": 0.0009, ""intensification_focus_probability"": 0.94, ""intensification_threshold"": 0.98, ""max_iterations"": 4500, ""max_multi_flip_size"": 2, ""max_reheats"": 4, ""min_temperature"": 0.0005, ""mini_hill_climb_steps"": 33, ""mode"": ""enhanced"", ""multi_bit_flip_probability"": 0.04, ""polarity_bias_strength"": 0.7, ""reheat_multiplier"": 1.5, ""restart_count"": 2, ""restart_initialization_strategy"": ""polarity"", ""stagnation_limit"": 70, ""stagnation_multi_bit_boost"": 0.15, ""unsatisfied_focus_probability"": 0.6}"
enhanced_trial_2,3sat_n150_r3.json,150,3.0,0,705972,enhanced,450,450,1.0,0.001949199941009283,21,True,1,21,21,0,0,20,1,16,"{""adaptive_cooling"": true, ""adaptive_cooling_bonus"": 0.0007, ""adaptive_cooling_penalty"": 0.0025, ""candidate_pool_size"": 15, ""cooling_rate"": 0.9975, ""elite_restart_perturbation"": 5, ""elite_restart_transfer"": true, ""history_bias_strength"": 0.72, ""initial_temperature"": 12.0, ""intensification_cooling_bonus"": 0.0009, ""intensification_focus_probability"": 0.94, ""intensification_threshold"": 0.99, ""max_iterations"": 8250, ""max_multi_flip_size"": 2, ""max_reheats"": 3, ""min_temperature"": 0.001, ""mini_hill_climb_steps"": 15, ""mode"": ""enhanced"", ""multi_bit_flip_probability"": 0.08, ""polarity_bias_strength"": 0.7, ""reheat_multiplier"": 1.35, ""restart_count"": 4, ""restart_initialization_strategy"": ""polarity"", ""stagnation_limit"": 105, ""stagnation_multi_bit_boost"": 0.15, ""unsatisfied_focus_probability"": 0.8}"
