instance_name,n,ratio,m,solver_key,algorithm_name,run_id,random_seed,best_satisfied_clauses,total_clauses,satisfaction_rate,unsatisfied_clauses,runtime_seconds,iterations_used,fully_satisfied
3sat_n50_r3.json,50,3.0,150,binary_swarm_solver,Binary Swarm (BSGO),1,5151092,150,150,1.0,0,0.35520630003884435,20,True
3sat_n50_r3.json,50,3.0,150,binary_swarm_solver,Binary Swarm (BSGO),2,5151093,150,150,1.0,0,0.6327991000143811,30,True
3sat_n50_r4.3.json,50,4.3,215,binary_swarm_solver,Binary Swarm (BSGO),1,5216482,213,215,0.9906976744186047,2,2.8905361000215635,115,False
3sat_n50_r4.3.json,50,4.3,215,binary_swarm_solver,Binary Swarm (BSGO),2,5216483,213,215,0.9906976744186047,2,2.13221099996008,115,False
3sat_n50_r6.json,50,6.0,300,binary_swarm_solver,Binary Swarm (BSGO),1,5301992,296,300,0.9866666666666667,4,3.8996123999822885,165,False
3sat_n50_r6.json,50,6.0,300,binary_swarm_solver,Binary Swarm (BSGO),2,5301993,296,300,0.9866666666666667,4,3.944178399979137,168,False
3sat_n100_r3.json,100,3.0,300,binary_swarm_solver,Binary Swarm (BSGO),1,10151242,300,300,1.0,0,0.5496632000431418,18,True
3sat_n100_r3.json,100,3.0,300,binary_swarm_solver,Binary Swarm (BSGO),2,10151243,300,300,1.0,0,0.37355260003823787,12,True
3sat_n100_r4.3.json,100,4.3,430,binary_swarm_solver,Binary Swarm (BSGO),1,10216632,427,430,0.9930232558139535,3,6.665422399993986,165,False
3sat_n100_r4.3.json,100,4.3,430,binary_swarm_solver,Binary Swarm (BSGO),2,10216633,426,430,0.9906976744186047,4,3.907522500026971,115,False
3sat_n100_r6.json,100,6.0,600,binary_swarm_solver,Binary Swarm (BSGO),1,10302142,590,600,0.9833333333333333,10,5.961588599951938,136,False
3sat_n100_r6.json,100,6.0,600,binary_swarm_solver,Binary Swarm (BSGO),2,10302143,591,600,0.985,9,5.828559900051914,135,False
3sat_n150_r3.json,150,3.0,450,binary_swarm_solver,Binary Swarm (BSGO),1,15151392,450,450,1.0,0,3.4456946999998763,72,True
3sat_n150_r3.json,150,3.0,450,binary_swarm_solver,Binary Swarm (BSGO),2,15151393,450,450,1.0,0,2.2696226000552997,48,True
3sat_n150_r4.3.json,150,4.3,645,binary_swarm_solver,Binary Swarm (BSGO),1,15216782,645,645,1.0,0,11.072617500089109,188,True
3sat_n150_r4.3.json,150,4.3,645,binary_swarm_solver,Binary Swarm (BSGO),2,15216783,643,645,0.9968992248062015,2,9.33404079999309,180,False
3sat_n150_r6.json,150,6.0,900,binary_swarm_solver,Binary Swarm (BSGO),1,15302292,887,900,0.9855555555555555,13,9.209424800006673,125,False
3sat_n150_r6.json,150,6.0,900,binary_swarm_solver,Binary Swarm (BSGO),2,15302293,888,900,0.9866666666666667,12,10.009610200067982,145,False
3sat_n200_r3.json,200,3.0,600,binary_swarm_solver,Binary Swarm (BSGO),1,20151542,600,600,1.0,0,8.184383200015873,127,True
3sat_n200_r3.json,200,3.0,600,binary_swarm_solver,Binary Swarm (BSGO),2,20151543,600,600,1.0,0,8.83852620003745,145,True
3sat_n200_r4.3.json,200,4.3,860,binary_swarm_solver,Binary Swarm (BSGO),1,20216932,858,860,0.9976744186046511,2,17.716712000081316,226,False
3sat_n200_r4.3.json,200,4.3,860,binary_swarm_solver,Binary Swarm (BSGO),2,20216933,855,860,0.9941860465116279,5,11.783129699993879,166,False
3sat_n200_r6.json,200,6.0,1200,binary_swarm_solver,Binary Swarm (BSGO),1,20302442,1184,1200,0.9866666666666667,16,18.661413100082427,205,False
3sat_n200_r6.json,200,6.0,1200,binary_swarm_solver,Binary Swarm (BSGO),2,20302443,1184,1200,0.9866666666666667,16,19.007360099931248,215,False
3sat_n500_r3.json,500,3.0,1500,binary_swarm_solver,Binary Swarm (BSGO),1,50152442,1499,1500,0.9993333333333333,1,21.90390939998906,165,False
3sat_n500_r3.json,500,3.0,1500,binary_swarm_solver,Binary Swarm (BSGO),2,50152443,1500,1500,1.0,0,25.62105459999293,181,True
3sat_n500_r4.3.json,500,4.3,2150,binary_swarm_solver,Binary Swarm (BSGO),1,50217832,2135,2150,0.9930232558139535,15,35.43165000004228,205,False
3sat_n500_r4.3.json,500,4.3,2150,binary_swarm_solver,Binary Swarm (BSGO),2,50217833,2136,2150,0.9934883720930232,14,36.11243269999977,218,False
3sat_n500_r6.json,500,6.0,3000,binary_swarm_solver,Binary Swarm (BSGO),1,50303342,2952,3000,0.984,48,54.90156639995985,215,False
3sat_n500_r6.json,500,6.0,3000,binary_swarm_solver,Binary Swarm (BSGO),2,50303343,2953,3000,0.9843333333333333,47,48.95109800004866,216,False
