instance,n,ratio,algorithm_name,best_satisfied,total_clauses,satisfaction_rate,runtime_seconds,iterations_used,fully_satisfied
3sat_n100_r3.json,100,3.0,Simulated Annealing,300,300,1.0,0.506642899941653,1337,True
3sat_n100_r3.json,100,3.0,Genetic Algorithm,299,300,0.9966666666666667,12.02277169993613,220,False
3sat_n100_r3.json,100,3.0,Memetic GA-SA,300,300,1.0,0.8221988000441343,10,True
3sat_n100_r3.json,100,3.0,Hybrid BSGO-GA,299,300,0.9966666666666667,18.01051589997951,180,False
3sat_n100_r4.3.json,100,4.3,Simulated Annealing,426,430,0.9906976744186047,1.569955199956894,3127,False
3sat_n100_r4.3.json,100,4.3,Genetic Algorithm,424,430,0.986046511627907,16.949260500026867,220,False
3sat_n100_r4.3.json,100,4.3,Memetic GA-SA,427,430,0.9930232558139535,27.7482148000272,220,False
3sat_n100_r4.3.json,100,4.3,Hybrid BSGO-GA,424,430,0.986046511627907,27.519479800015688,180,False
3sat_n100_r6.json,100,6.0,Simulated Annealing,589,600,0.9816666666666667,1.9758211999433115,3127,False
3sat_n100_r6.json,100,6.0,Genetic Algorithm,586,600,0.9766666666666667,23.790859199943952,220,False
3sat_n100_r6.json,100,6.0,Memetic GA-SA,590,600,0.9833333333333333,35.42432829993777,220,False
3sat_n100_r6.json,100,6.0,Hybrid BSGO-GA,583,600,0.9716666666666667,33.93282670003828,180,False
3sat_n150_r3.json,150,3.0,Simulated Annealing,449,450,0.9977777777777778,1.1829413999803364,3127,False
3sat_n150_r3.json,150,3.0,Genetic Algorithm,446,450,0.9911111111111112,16.516464299988,220,False
3sat_n150_r3.json,150,3.0,Memetic GA-SA,450,450,1.0,1.56944809993729,10,True
3sat_n150_r3.json,150,3.0,Hybrid BSGO-GA,450,450,1.0,13.278838600032032,88,True
3sat_n150_r4.3.json,150,4.3,Simulated Annealing,642,645,0.9953488372093023,1.6502378000877798,3127,False
3sat_n150_r4.3.json,150,4.3,Genetic Algorithm,640,645,0.9922480620155039,23.163391200010665,220,False
3sat_n150_r4.3.json,150,4.3,Memetic GA-SA,642,645,0.9953488372093023,51.0793237000471,220,False
3sat_n150_r4.3.json,150,4.3,Hybrid BSGO-GA,636,645,0.986046511627907,47.17951260006521,210,False
3sat_n150_r6.json,150,6.0,Simulated Annealing,887,900,0.9855555555555555,2.6752806999720633,3127,False
3sat_n150_r6.json,150,6.0,Genetic Algorithm,879,900,0.9766666666666667,35.10017119999975,220,False
3sat_n150_r6.json,150,6.0,Memetic GA-SA,887,900,0.9855555555555555,68.86156889994163,220,False
3sat_n150_r6.json,150,6.0,Hybrid BSGO-GA,874,900,0.9711111111111111,64.5153460999718,210,False
3sat_n200_r3.json,200,3.0,Simulated Annealing,599,600,0.9983333333333333,1.9624107000418007,3127,False
3sat_n200_r3.json,200,3.0,Genetic Algorithm,597,600,0.995,24.668145400006324,220,False
3sat_n200_r3.json,200,3.0,Memetic GA-SA,600,600,1.0,2.093373400042765,10,True
3sat_n200_r3.json,200,3.0,Hybrid BSGO-GA,590,600,0.9833333333333333,56.95351739996113,230,False
3sat_n200_r4.3.json,200,4.3,Simulated Annealing,853,860,0.9918604651162791,2.3123959000222385,3127,False
3sat_n200_r4.3.json,200,4.3,Genetic Algorithm,847,860,0.9848837209302326,33.387676999904215,220,False
3sat_n200_r4.3.json,200,4.3,Memetic GA-SA,857,860,0.9965116279069768,68.16587000002619,220,False
3sat_n200_r4.3.json,200,4.3,Hybrid BSGO-GA,843,860,0.9802325581395349,80.62084639992099,230,False
3sat_n200_r6.json,200,6.0,Simulated Annealing,1173,1200,0.9775,3.217805700027384,3127,False
3sat_n200_r6.json,200,6.0,Genetic Algorithm,1167,1200,0.9725,46.58714409999084,220,False
3sat_n200_r6.json,200,6.0,Memetic GA-SA,1178,1200,0.9816666666666667,98.2710281999316,220,False
3sat_n200_r6.json,200,6.0,Hybrid BSGO-GA,1172,1200,0.9766666666666667,109.30748299998231,230,False
