instance_name,n,m,ratio,generator_seed,solver_seed,algorithm_name,best_satisfied_clauses,total_clauses,satisfaction_rate,unsatisfied_clauses,runtime_seconds,iterations_used,fully_satisfied,iteration_of_best
3sat_n100_r3_i00.json,100,300,3.0,103002442,103002442,Memetic GA-SA (Classic refine),300,300,1.0,0,0.2108222000533715,20,True,0
3sat_n100_r3_i00.json,100,300,3.0,103002442,103002495,Memetic GA-SA (Enhanced SA refine),300,300,1.0,0,0.11819750000722706,10,True,0
3sat_n100_r4.3_i00.json,100,430,4.3,104303352,104303352,Memetic GA-SA (Classic refine),426,430,0.9906976744186047,4,7.279796999995597,484,False,0
3sat_n100_r4.3_i00.json,100,430,4.3,104303352,104303405,Memetic GA-SA (Enhanced SA refine),429,430,0.9976744186046511,1,18.6983206999721,484,False,221
3sat_n100_r6_i00.json,100,600,6.0,106004542,106004542,Memetic GA-SA (Classic refine),584,600,0.9733333333333334,16,18.81917869998142,484,False,221
3sat_n100_r6_i00.json,100,600,6.0,106004542,106004595,Memetic GA-SA (Enhanced SA refine),590,600,0.9833333333333333,10,28.248035999946296,484,False,221
3sat_n150_r3_i00.json,150,450,3.0,153002592,153002592,Memetic GA-SA (Classic refine),448,450,0.9955555555555555,2,5.990904000005685,220,False,0
3sat_n150_r3_i00.json,150,450,3.0,153002592,153002645,Memetic GA-SA (Enhanced SA refine),450,450,1.0,0,0.35431719990447164,10,True,0
3sat_n150_r4.3_i00.json,150,645,4.3,154303502,154303502,Memetic GA-SA (Classic refine),636,645,0.986046511627907,9,22.185047200066037,484,False,0
3sat_n150_r4.3_i00.json,150,645,4.3,154303502,154303555,Memetic GA-SA (Enhanced SA refine),643,645,0.9968992248062015,2,36.98377050005365,484,False,221
3sat_n150_r6_i00.json,150,900,6.0,156004692,156004692,Memetic GA-SA (Classic refine),880,900,0.9777777777777777,20,32.383455500006676,484,False,221
3sat_n150_r6_i00.json,150,900,6.0,156004692,156004745,Memetic GA-SA (Enhanced SA refine),887,900,0.9855555555555555,13,53.65809809998609,484,False,221
3sat_n200_r3_i00.json,200,600,3.0,203002742,203002742,Memetic GA-SA (Classic refine),599,600,0.9983333333333333,1,9.79058640007861,220,False,0
3sat_n200_r3_i00.json,200,600,3.0,203002742,203002795,Memetic GA-SA (Enhanced SA refine),600,600,1.0,0,0.46131039992906153,10,True,0
3sat_n200_r4.3_i00.json,200,860,4.3,204303652,204303652,Memetic GA-SA (Classic refine),846,860,0.9837209302325581,14,32.33830179995857,484,False,221
3sat_n200_r4.3_i00.json,200,860,4.3,204303652,204303705,Memetic GA-SA (Enhanced SA refine),858,860,0.9976744186046511,2,52.913819700013846,484,False,0
3sat_n200_r6_i00.json,200,1200,6.0,206004842,206004842,Memetic GA-SA (Classic refine),1172,1200,0.9766666666666667,28,45.001702299923636,484,False,0
3sat_n200_r6_i00.json,200,1200,6.0,206004842,206004895,Memetic GA-SA (Enhanced SA refine),1184,1200,0.9866666666666667,16,46.998797000036575,484,False,0
