instance,n,ratio,algorithm_name,best_satisfied,total_clauses,satisfaction_rate,runtime_seconds,iterations_used,fully_satisfied
3sat_n100_r3.json,100,3.0,Simulated Annealing,300,300,1.0,0.5055094000417739,1337,True
3sat_n100_r3.json,100,3.0,Genetic Algorithm,299,300,0.9966666666666667,13.717136500054039,220,False
3sat_n100_r3.json,100,3.0,Binary Swarm (BSGO),295,300,0.9833333333333333,5.811077699996531,135,False
3sat_n100_r3.json,100,3.0,Memetic GA-SA,300,300,1.0,1.7582955000689253,70,True
3sat_n100_r3.json,100,3.0,Swarm-SA Hybrid,297,300,0.99,7.035011100000702,220,False
3sat_n100_r4.3.json,100,4.3,Simulated Annealing,426,430,0.9906976744186047,1.2684834999963641,3127,False
3sat_n100_r4.3.json,100,4.3,Genetic Algorithm,424,430,0.986046511627907,18.47090750001371,220,False
3sat_n100_r4.3.json,100,4.3,Binary Swarm (BSGO),423,430,0.9837209302325581,8.607668400043622,165,False
3sat_n100_r4.3.json,100,4.3,Memetic GA-SA,424,430,0.986046511627907,6.3904460000339895,220,False
3sat_n100_r4.3.json,100,4.3,Swarm-SA Hybrid,425,430,0.9883720930232558,8.316170200007036,220,False
3sat_n100_r6.json,100,6.0,Simulated Annealing,589,600,0.9816666666666667,2.509413600084372,3127,False
3sat_n100_r6.json,100,6.0,Genetic Algorithm,586,600,0.9766666666666667,26.48968210001476,220,False
3sat_n100_r6.json,100,6.0,Binary Swarm (BSGO),583,600,0.9716666666666667,12.542681799968705,175,False
3sat_n100_r6.json,100,6.0,Memetic GA-SA,590,600,0.9833333333333333,8.759060600074008,220,False
3sat_n100_r6.json,100,6.0,Swarm-SA Hybrid,582,600,0.97,10.782069199951366,220,False
3sat_n150_r3.json,150,3.0,Simulated Annealing,449,450,0.9977777777777778,1.6580545000033453,3127,False
3sat_n150_r3.json,150,3.0,Genetic Algorithm,446,450,0.9911111111111112,20.010534700006247,220,False
3sat_n150_r3.json,150,3.0,Binary Swarm (BSGO),445,450,0.9888888888888889,15.102598699973896,245,False
3sat_n150_r3.json,150,3.0,Memetic GA-SA,448,450,0.9955555555555555,6.474726799991913,220,False
3sat_n150_r3.json,150,3.0,Swarm-SA Hybrid,445,450,0.9888888888888889,8.779385500005446,220,False
3sat_n150_r4.3.json,150,4.3,Simulated Annealing,642,645,0.9953488372093023,1.8894615999888629,3127,False
3sat_n150_r4.3.json,150,4.3,Genetic Algorithm,640,645,0.9922480620155039,27.35386249993462,220,False
3sat_n150_r4.3.json,150,4.3,Binary Swarm (BSGO),637,645,0.9875968992248062,21.89303299994208,265,False
3sat_n150_r4.3.json,150,4.3,Memetic GA-SA,632,645,0.9798449612403101,10.588049999903888,220,False
3sat_n150_r4.3.json,150,4.3,Swarm-SA Hybrid,630,645,0.9767441860465116,14.187819099985063,220,False
3sat_n150_r6.json,150,6.0,Simulated Annealing,887,900,0.9855555555555555,2.831348399980925,3127,False
3sat_n150_r6.json,150,6.0,Genetic Algorithm,879,900,0.9766666666666667,37.91236870002467,220,False
3sat_n150_r6.json,150,6.0,Binary Swarm (BSGO),874,900,0.9711111111111111,20.75074599997606,185,False
3sat_n150_r6.json,150,6.0,Memetic GA-SA,884,900,0.9822222222222222,13.58621179999318,220,False
3sat_n150_r6.json,150,6.0,Swarm-SA Hybrid,872,900,0.9688888888888889,17.4483043999644,220,False
3sat_n200_r3.json,200,3.0,Simulated Annealing,599,600,0.9983333333333333,1.910031000035815,3127,False
3sat_n200_r3.json,200,3.0,Genetic Algorithm,597,600,0.995,27.853604699950665,220,False
3sat_n200_r3.json,200,3.0,Binary Swarm (BSGO),593,600,0.9883333333333333,21.428450899897143,245,False
3sat_n200_r3.json,200,3.0,Memetic GA-SA,596,600,0.9933333333333333,9.491849099984393,220,False
3sat_n200_r3.json,200,3.0,Swarm-SA Hybrid,590,600,0.9833333333333333,13.044819900067523,220,False
3sat_n200_r4.3.json,200,4.3,Simulated Annealing,853,860,0.9918604651162791,2.540326900081709,3127,False
3sat_n200_r4.3.json,200,4.3,Genetic Algorithm,847,860,0.9848837209302326,41.34786320000421,220,False
3sat_n200_r4.3.json,200,4.3,Binary Swarm (BSGO),847,860,0.9848837209302326,37.30033709993586,281,False
3sat_n200_r4.3.json,200,4.3,Memetic GA-SA,849,860,0.9872093023255814,14.903367599938065,220,False
3sat_n200_r4.3.json,200,4.3,Swarm-SA Hybrid,841,860,0.977906976744186,20.85074679995887,220,False
3sat_n200_r6.json,200,6.0,Simulated Annealing,1173,1200,0.9775,4.047088299994357,3127,False
3sat_n200_r6.json,200,6.0,Genetic Algorithm,1167,1200,0.9725,65.22243700001854,220,False
3sat_n200_r6.json,200,6.0,Binary Swarm (BSGO),1170,1200,0.975,73.48860379995313,275,False
3sat_n200_r6.json,200,6.0,Memetic GA-SA,1173,1200,0.9775,33.03022549999878,220,False
3sat_n200_r6.json,200,6.0,Swarm-SA Hybrid,1155,1200,0.9625,46.552485799998976,220,False
